,table,column,bins,table_column
0,dbgen_version,dv_version,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",dbgen_version.dv_version
1,dbgen_version,dv_create_date,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",dbgen_version.dv_create_date
2,dbgen_version,dv_create_time,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",dbgen_version.dv_create_time
3,dbgen_version,dv_cmdline_args,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",dbgen_version.dv_cmdline_args
4,customer_address,ca_address_id,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_address_id
5,customer_address,ca_address_sk,"[1.0000000e+00 5.0009800e+03 1.0000960e+04 1.5000940e+04 2.0000920e+04
 2.5000900e+04 3.0000880e+04 3.5000860e+04 4.0000840e+04 4.5000820e+04
 5.0000800e+04 5.5000780e+04 6.0000760e+04 6.5000740e+04 7.0000720e+04
 7.5000700e+04 8.0000680e+04 8.5000660e+04 9.0000640e+04 9.5000620e+04
 1.0000060e+05 1.0500058e+05 1.1000056e+05 1.1500054e+05 1.2000052e+05
 1.2500050e+05 1.3000048e+05 1.3500046e+05 1.4000044e+05 1.4500042e+05
 1.5000040e+05 1.5500038e+05 1.6000036e+05 1.6500034e+05 1.7000032e+05
 1.7500030e+05 1.8000028e+05 1.8500026e+05 1.9000024e+05 1.9500022e+05
 2.0000020e+05 2.0500018e+05 2.1000016e+05 2.1500014e+05 2.2000012e+05
 2.2500010e+05 2.3000008e+05 2.3500006e+05 2.4000004e+05 2.4500002e+05
 2.5000000e+05]",customer_address.ca_address_sk
6,customer_address,ca_suite_number,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_suite_number
7,customer_address,ca_street_type,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_street_type
8,customer_address,ca_county,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_county
9,customer_address,ca_location_type,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_location_type
10,customer_address,ca_zip,"[  601.  8654. 13003. 18354. 20499. 22738. 24536. 26668. 28370. 29454.
 30852. 32898. 34854. 36696. 38370. 39391. 40534. 42808. 44466. 46557.
 48252. 49310. 50411. 51904. 53683. 55124. 56787. 58222. 59231. 60125.
 61521. 63003. 64466. 66098. 67752. 68721. 69532. 70499. 71952. 74062.
 75281. 76867. 78252. 79237. 80399. 83683. 86787. 89237. 92293. 96787.
 99981.]",customer_address.ca_zip
11,customer_address,ca_city,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_city
12,customer_address,ca_country,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_country
13,customer_address,ca_gmt_offset,"[-10.  -8.  -8.  -7.  -7.  -7.  -7.  -7.  -7.  -6.  -6.  -6.  -6.  -6.
  -6.  -6.  -6.  -6.  -6.  -6.  -6.  -6.  -6.  -6.  -6.  -6.  -6.  -6.
  -6.  -6.  -6.  -6.  -5.  -5.  -5.  -5.  -5.  -5.  -5.  -5.  -5.  -5.
  -5.  -5.  -5.  -5.  -5.  -5.  -5.  -5.  -5.]",customer_address.ca_gmt_offset
14,customer_address,ca_street_number,"[   1.   20.   40.   60.   80.  101.  120.  141.  161.  181.  200.  220.
  240.  260.  280.  300.  320.  340.  360.  380.  400.  420.  440.  460.
  480.  500.  520.  540.  560.  580.  600.  621.  641.  661.  681.  701.
  721.  741.  760.  781.  800.  820.  840.  860.  880.  900.  920.  940.
  960.  980. 1000.]",customer_address.ca_street_number
15,customer_address,ca_street_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_street_name
16,customer_address,ca_state,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_address.ca_state
17,customer_demographics,cd_dep_employed_count,"[0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 2. 2. 2. 2. 2. 2. 2. 3. 3.
 3. 3. 3. 3. 3. 4. 4. 4. 4. 4. 4. 4. 5. 5. 5. 5. 5. 5. 5. 6. 6. 6. 6. 6.
 6. 6. 6.]",customer_demographics.cd_dep_employed_count
18,customer_demographics,cd_dep_college_count,"[0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 2. 2. 2. 2. 2. 2. 2. 3. 3.
 3. 3. 3. 3. 3. 4. 4. 4. 4. 4. 4. 4. 5. 5. 5. 5. 5. 5. 5. 6. 6. 6. 6. 6.
 6. 6. 6.]",customer_demographics.cd_dep_college_count
19,customer_demographics,cd_demo_sk,"[1.00000000e+00 3.84169800e+04 7.68329600e+04 1.15248940e+05
 1.53664920e+05 1.92080900e+05 2.30496880e+05 2.68912860e+05
 3.07328840e+05 3.45744820e+05 3.84160800e+05 4.22576780e+05
 4.60992760e+05 4.99408740e+05 5.37824720e+05 5.76240700e+05
 6.14656680e+05 6.53072660e+05 6.91488640e+05 7.29904620e+05
 7.68320600e+05 8.06736580e+05 8.45152560e+05 8.83568540e+05
 9.21984520e+05 9.60400500e+05 9.98816480e+05 1.03723246e+06
 1.07564844e+06 1.11406442e+06 1.15248040e+06 1.19089638e+06
 1.22931236e+06 1.26772834e+06 1.30614432e+06 1.34456030e+06
 1.38297628e+06 1.42139226e+06 1.45980824e+06 1.49822422e+06
 1.53664020e+06 1.57505618e+06 1.61347216e+06 1.65188814e+06
 1.69030412e+06 1.72872010e+06 1.76713608e+06 1.80555206e+06
 1.84396804e+06 1.88238402e+06 1.92080000e+06]",customer_demographics.cd_demo_sk
20,customer_demographics,cd_gender,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_demographics.cd_gender
21,customer_demographics,cd_marital_status,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_demographics.cd_marital_status
22,customer_demographics,cd_education_status,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer_demographics.cd_education_status
