,table,column,bins,table_column
0,nation,n_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",nation.n_name
1,nation,n_regionkey,"[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.32 0.8  1.   1.   1.
 1.   1.   1.   1.   1.   1.12 1.6  2.   2.   2.   2.   2.   2.   2.
 2.   2.   2.4  2.88 3.   3.   3.   3.   3.   3.   3.   3.   3.2  3.68
 4.   4.   4.   4.   4.   4.   4.   4.   4.  ]",nation.n_regionkey
2,nation,n_comment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",nation.n_comment
3,nation,n_nationkey,"[ 0.    0.48  0.96  1.44  1.92  2.4   2.88  3.36  3.84  4.32  4.8   5.28
  5.76  6.24  6.72  7.2   7.68  8.16  8.64  9.12  9.6  10.08 10.56 11.04
 11.52 12.   12.48 12.96 13.44 13.92 14.4  14.88 15.36 15.84 16.32 16.8
 17.28 17.76 18.24 18.72 19.2  19.68 20.16 20.64 21.12 21.6  22.08 22.56
 23.04 23.52 24.  ]",nation.n_nationkey
4,region,r_regionkey,"[0.   0.08 0.16 0.24 0.32 0.4  0.48 0.56 0.64 0.72 0.8  0.88 0.96 1.04
 1.12 1.2  1.28 1.36 1.44 1.52 1.6  1.68 1.76 1.84 1.92 2.   2.08 2.16
 2.24 2.32 2.4  2.48 2.56 2.64 2.72 2.8  2.88 2.96 3.04 3.12 3.2  3.28
 3.36 3.44 3.52 3.6  3.68 3.76 3.84 3.92 4.  ]",region.r_regionkey
5,region,r_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",region.r_name
6,region,r_comment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",region.r_comment
7,part,p_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",part.p_name
8,part,p_type,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",part.p_type
9,part,p_brand,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",part.p_brand
10,part,p_container,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",part.p_container
11,part,p_comment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",part.p_comment
12,part,p_retailprice,"[ 900.91    988.99   1025.99   1054.06   1078.06   1099.1    1119.1
 1139.1086 1159.12   1179.13   1199.15   1219.17   1239.19   1259.21
 1279.23   1299.25   1319.27   1339.29   1359.31   1379.33   1399.35
 1419.37   1439.39   1459.41   1479.43   1499.45   1519.47   1539.49
 1559.51   1579.53   1599.55   1619.57   1639.59   1659.61   1679.63
 1699.65   1719.67   1739.69   1759.71   1779.73   1799.75   1819.77
 1839.79   1859.81   1879.83   1899.85   1920.88   1944.8806 1973.79
 2010.84   2098.99  ]",part.p_retailprice
13,part,p_partkey,"[1.00000000e+00 4.00009800e+04 8.00009600e+04 1.20000940e+05
 1.60000920e+05 2.00000900e+05 2.40000880e+05 2.80000860e+05
 3.20000840e+05 3.60000820e+05 4.00000800e+05 4.40000780e+05
 4.80000760e+05 5.20000740e+05 5.60000720e+05 6.00000700e+05
 6.40000680e+05 6.80000660e+05 7.20000640e+05 7.60000620e+05
 8.00000600e+05 8.40000580e+05 8.80000560e+05 9.20000540e+05
 9.60000520e+05 1.00000050e+06 1.04000048e+06 1.08000046e+06
 1.12000044e+06 1.16000042e+06 1.20000040e+06 1.24000038e+06
 1.28000036e+06 1.32000034e+06 1.36000032e+06 1.40000030e+06
 1.44000028e+06 1.48000026e+06 1.52000024e+06 1.56000022e+06
 1.60000020e+06 1.64000018e+06 1.68000016e+06 1.72000014e+06
 1.76000012e+06 1.80000010e+06 1.84000008e+06 1.88000006e+06
 1.92000004e+06 1.96000002e+06 2.00000000e+06]",part.p_partkey
14,part,p_mfgr,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",part.p_mfgr
15,part,p_size,"[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18.
 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36.
 37. 38. 38. 40. 41. 42. 42. 43. 44. 46. 47. 48. 48. 49. 50.]",part.p_size
16,supplier,s_nationkey,"[ 0.  0.  1.  1.  2.  2.  3.  3.  4.  4.  5.  5.  6.  6.  7.  7.  8.  8.
  8.  9. 10. 10. 10. 11. 11. 12. 12. 13. 13. 14. 14. 15. 15. 16. 17. 17.
 18. 18. 19. 19. 19. 20. 20. 21. 21. 22. 22. 23. 24. 24. 24.]",supplier.s_nationkey
17,supplier,s_suppkey,"[1.000000e+00 2.000980e+03 4.000960e+03 6.000940e+03 8.000920e+03
 1.000090e+04 1.200088e+04 1.400086e+04 1.600084e+04 1.800082e+04
 2.000080e+04 2.200078e+04 2.400076e+04 2.600074e+04 2.800072e+04
 3.000070e+04 3.200068e+04 3.400066e+04 3.600064e+04 3.800062e+04
 4.000060e+04 4.200058e+04 4.400056e+04 4.600054e+04 4.800052e+04
 5.000050e+04 5.200048e+04 5.400046e+04 5.600044e+04 5.800042e+04
 6.000040e+04 6.200038e+04 6.400036e+04 6.600034e+04 6.800032e+04
 7.000030e+04 7.200028e+04 7.400026e+04 7.600024e+04 7.800022e+04
 8.000020e+04 8.200018e+04 8.400016e+04 8.600014e+04 8.800012e+04
 9.000010e+04 9.200008e+04 9.400006e+04 9.600004e+04 9.800002e+04
 1.000000e+05]",supplier.s_suppkey
18,supplier,s_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",supplier.s_name
19,supplier,s_phone,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",supplier.s_phone
20,supplier,s_comment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",supplier.s_comment
21,supplier,s_acctbal,"[-999.92   -780.572  -553.6012 -334.5284 -110.4572  106.293   325.684
  544.0366  769.5752 1000.1484 1221.516  1437.1924 1661.3452 1876.087
 2094.4192 2305.128  2535.2644 2761.0832 2984.1844 3204.582  3437.056
 3645.8448 3859.908  4084.5086 4306.0216 4521.155  4742.1584 4961.9246
 5185.2628 5401.807  5627.202  5852.5484 6075.0672 6293.4102 6513.76
 6733.291  6961.7296 7175.5626 7383.0284 7599.32   7814.144  8035.5654
 8258.7276 8476.3242 8688.9728 8911.975  9124.8312 9340.485  9558.8928
 9780.951  9999.93  ]",supplier.s_acctbal
22,supplier,s_address,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",supplier.s_address
23,partsupp,ps_supplycost,"[   1.       20.97     40.97     60.86     80.78    100.77    120.78
  140.79    160.69    180.72    200.6     220.65    240.67    260.63
  280.5872  300.54    320.5     340.42    360.36    380.42    400.34
  420.36    440.3     460.34    480.45    500.4     520.45    540.4046
  560.51    580.42    600.35    620.39    640.33    660.38    680.43
  700.39    720.32    740.29    760.21    780.19    800.17    820.17
  840.2     860.19    880.11    900.08    920.03    939.95    959.98
  980.01   1000.    ]",partsupp.ps_supplycost
24,partsupp,ps_suppkey,"[1.000000e+00 2.000980e+03 4.000960e+03 6.000940e+03 8.000920e+03
 1.000090e+04 1.200088e+04 1.400086e+04 1.600084e+04 1.800082e+04
 2.000080e+04 2.200078e+04 2.400076e+04 2.600074e+04 2.800072e+04
 3.000070e+04 3.200068e+04 3.400066e+04 3.600064e+04 3.800062e+04
 4.000060e+04 4.200058e+04 4.400056e+04 4.600054e+04 4.800052e+04
 5.000050e+04 5.200048e+04 5.400046e+04 5.600044e+04 5.800042e+04
 6.000040e+04 6.200038e+04 6.400036e+04 6.600034e+04 6.800032e+04
 7.000030e+04 7.200028e+04 7.400026e+04 7.600024e+04 7.800022e+04
 8.000020e+04 8.200018e+04 8.400016e+04 8.600014e+04 8.800012e+04
 9.000010e+04 9.200008e+04 9.400006e+04 9.600004e+04 9.800002e+04
 1.000000e+05]",partsupp.ps_suppkey
25,partsupp,ps_comment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",partsupp.ps_comment
26,partsupp,ps_partkey,"[1.00000000e+00 4.00009800e+04 8.00009600e+04 1.20000940e+05
 1.60000920e+05 2.00000900e+05 2.40000880e+05 2.80000860e+05
 3.20000840e+05 3.60000820e+05 4.00000800e+05 4.40000780e+05
 4.80000760e+05 5.20000740e+05 5.60000720e+05 6.00000700e+05
 6.40000680e+05 6.80000660e+05 7.20000640e+05 7.60000620e+05
 8.00000600e+05 8.40000580e+05 8.80000560e+05 9.20000540e+05
 9.60000520e+05 1.00000050e+06 1.04000048e+06 1.08000046e+06
 1.12000044e+06 1.16000042e+06 1.20000040e+06 1.24000038e+06
 1.28000036e+06 1.32000034e+06 1.36000032e+06 1.40000030e+06
 1.44000028e+06 1.48000026e+06 1.52000024e+06 1.56000022e+06
 1.60000020e+06 1.64000018e+06 1.68000016e+06 1.72000014e+06
 1.76000012e+06 1.80000010e+06 1.84000008e+06 1.88000006e+06
 1.92000004e+06 1.96000002e+06 2.00000000e+06]",partsupp.ps_partkey
27,partsupp,ps_availqty,"[1.000e+00 2.000e+02 4.010e+02 6.020e+02 8.020e+02 1.002e+03 1.202e+03
 1.402e+03 1.602e+03 1.800e+03 2.000e+03 2.200e+03 2.400e+03 2.600e+03
 2.800e+03 3.000e+03 3.200e+03 3.400e+03 3.600e+03 3.800e+03 4.000e+03
 4.200e+03 4.400e+03 4.600e+03 4.799e+03 4.999e+03 5.200e+03 5.400e+03
 5.600e+03 5.800e+03 6.001e+03 6.201e+03 6.402e+03 6.602e+03 6.802e+03
 7.000e+03 7.200e+03 7.400e+03 7.600e+03 7.800e+03 8.000e+03 8.200e+03
 8.400e+03 8.600e+03 8.800e+03 9.001e+03 9.200e+03 9.400e+03 9.599e+03
 9.799e+03 9.999e+03]",partsupp.ps_availqty
28,customer,c_comment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer.c_comment
29,customer,c_mktsegment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer.c_mktsegment
30,customer,c_phone,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer.c_phone
31,customer,c_acctbal,"[-999.99   -781.1002 -560.0704 -339.97   -119.67     99.84    321.3752
  541.94    761.5684  981.8682 1201.49   1420.76   1638.38   1855.01
 2077.29   2294.247  2515.18   2735.53   2954.23   3174.8586 3394.646
 3615.16   3832.7356 4051.81   4272.2156 4491.65   4713.13   4935.11
 5155.4388 5376.75   5598.724  5818.97   6038.12   6258.8934 6480.1532
 6698.726  6921.88   7142.86   7362.8824 7583.5522 7802.922  8021.47
 8243.7616 8463.18   8682.9212 8904.64   9123.61   9342.5006 9560.3108
 9780.2    9999.99  ]",customer.c_acctbal
32,customer,c_address,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer.c_address
33,customer,c_nationkey,"[ 0.  0.  1.  1.  2.  2.  3.  3.  4.  4.  5.  5.  6.  6.  6.  7.  7.  8.
  8.  9.  9. 10. 10. 11. 11. 12. 12. 13. 13. 14. 14. 15. 15. 16. 17. 17.
 18. 18. 19. 19. 20. 20. 21. 21. 22. 22. 23. 23. 24. 24. 24.]",customer.c_nationkey
34,customer,c_custkey,"[1.00000000e+00 3.00009800e+04 6.00009600e+04 9.00009400e+04
 1.20000920e+05 1.50000900e+05 1.80000880e+05 2.10000860e+05
 2.40000840e+05 2.70000820e+05 3.00000800e+05 3.30000780e+05
 3.60000760e+05 3.90000740e+05 4.20000720e+05 4.50000700e+05
 4.80000680e+05 5.10000660e+05 5.40000640e+05 5.70000620e+05
 6.00000600e+05 6.30000580e+05 6.60000560e+05 6.90000540e+05
 7.20000520e+05 7.50000500e+05 7.80000480e+05 8.10000460e+05
 8.40000440e+05 8.70000420e+05 9.00000400e+05 9.30000380e+05
 9.60000360e+05 9.90000340e+05 1.02000032e+06 1.05000030e+06
 1.08000028e+06 1.11000026e+06 1.14000024e+06 1.17000022e+06
 1.20000020e+06 1.23000018e+06 1.26000016e+06 1.29000014e+06
 1.32000012e+06 1.35000010e+06 1.38000008e+06 1.41000006e+06
 1.44000004e+06 1.47000002e+06 1.50000000e+06]",customer.c_custkey
35,customer,c_name,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",customer.c_name
36,orders,o_clerk,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",orders.o_clerk
37,orders,o_orderkey,"[1.00000000e+00 1.20000098e+06 2.40000096e+06 3.60000094e+06
 4.80000092e+06 6.00000090e+06 7.20000088e+06 8.40000086e+06
 9.60000084e+06 1.08000008e+07 1.20000008e+07 1.32000008e+07
 1.44000008e+07 1.56000007e+07 1.68000007e+07 1.80000007e+07
 1.92000007e+07 2.04000007e+07 2.16000006e+07 2.28000006e+07
 2.40000006e+07 2.52000006e+07 2.64000006e+07 2.76000005e+07
 2.88000005e+07 3.00000005e+07 3.12000005e+07 3.24000005e+07
 3.36000004e+07 3.48000004e+07 3.60000004e+07 3.72000004e+07
 3.84000004e+07 3.96000003e+07 4.08000003e+07 4.20000003e+07
 4.32000003e+07 4.44000003e+07 4.56000002e+07 4.68000002e+07
 4.80000002e+07 4.92000002e+07 5.04000002e+07 5.16000001e+07
 5.28000001e+07 5.40000001e+07 5.52000001e+07 5.64000001e+07
 5.76000000e+07 5.88000000e+07 6.00000000e+07]",orders.o_orderkey
38,orders,o_custkey,"[1.00000000e+00 3.00280000e+04 6.00580000e+04 9.00020000e+04
 1.20026000e+05 1.49962000e+05 1.79981000e+05 2.09878000e+05
 2.39806000e+05 2.69677000e+05 2.99683000e+05 3.29623000e+05
 3.59677000e+05 3.89608000e+05 4.19635000e+05 4.49660000e+05
 4.79693000e+05 5.09767000e+05 5.39797000e+05 5.69683000e+05
 5.99691200e+05 6.29749000e+05 6.59677000e+05 6.89647000e+05
 7.19663000e+05 7.49636000e+05 7.79675000e+05 8.09716000e+05
 8.39701000e+05 8.69639000e+05 8.99749000e+05 9.29755380e+05
 9.59789000e+05 9.89746000e+05 1.01979700e+06 1.04976400e+06
 1.07975200e+06 1.10982726e+06 1.13975900e+06 1.16972200e+06
 1.19973100e+06 1.22968000e+06 1.25968400e+06 1.28968100e+06
 1.31969200e+06 1.34977000e+06 1.37983600e+06 1.40990900e+06
 1.43997800e+06 1.46996500e+06 1.49999900e+06]",orders.o_custkey
39,orders,o_orderpriority,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",orders.o_orderpriority
40,orders,o_orderdate,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",orders.o_orderdate
41,orders,o_totalprice,"[   838.05    10123.0598  18411.5168  25861.5188  32588.8384  38749.008
  44434.3688  49721.4572  54862.7184  59968.9974  65059.474   70183.419
  75303.4628  80451.8422  85643.9472  90904.414   96221.67   101600.6728
 106983.25   112347.5862 117677.416  122973.97   128275.4256 133584.1462
 138903.6656 144240.435  149589.6748 154978.3492 160419.4844 165874.9884
 171378.304  176930.1914 182539.6036 188232.5934 194033.4032 199926.693
 205946.9184 212132.8126 218479.8224 225047.9554 231911.084  239069.7554
 246665.4216 254808.87   263628.97   273404.141  284522.14   297762.2106
 314635.7944 339948.1152 558822.56  ]",orders.o_totalprice
42,orders,o_shippriority,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",orders.o_shippriority
43,orders,o_orderstatus,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",orders.o_orderstatus
44,orders,o_comment,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",orders.o_comment
45,lineitem,l_shipinstruct,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",lineitem.l_shipinstruct
46,lineitem,l_shipdate,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",lineitem.l_shipdate
